OTU,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94
OTU_16S_11,25.48338234,8.277765003,17.37698921,21.62478083,11.35831382,16.17440225,60.38967663,18.98317827,6.703633204,50.13521947,11.7674204,20.28558477,21.96382429,10.88214865,7.531667237,6.399235912,21.05955907,13.62772026,14.36984688,10.52889324,13.44059649,43.59214219,6.005126327,10.54417646,16.02407679,13.83928571,32.28484457,7.762789514,13.75978921,74.07741586,20.76927904,29.81595092,17.13750167,33.35151562,8.28952689,8.950914341,6.59250103,19.01761755,17.17753549,27.4323683,21.24751491,22.55515311,17.47224037,7.068607069,22.97460701,8.747396608,12.95268306,18.30132749,208.0303765,21.31316604,36.29764065,10.50773369,17.51214552
OTU_16S_12,11.67245834,35.87031501,19.75489299,10.98772648,15.10538642,16.6432255,18.97378354,27.34705385,35.4216668,11.64967755,8.075680665,0,19.94509044,78.83769391,20.7120849,25.69245463,11.76373807,8.13437566,8.127208481,3.795298727,14.8140881,0,2.050530941,17.45243001,11.46900927,55.24553571,11.16133198,36.52328837,12.36917222,9.022827754,73.47681496,36.44171779,53.15303253,11.84446349,16.68014557,30.70259865,6.695508859,38.2685801,92.88212302,33.22259136,45.60139165,9.384260784,30.61724363,8.482328482,21.36235389,32.25230586,39.12238964,7.60407269,9.04831152,12.5472671,11.53746435,9.751176866,8.925545136
OTU_16S_13,26.90902611,14.86931862,25.60819462,29.3395675,8.079625293,16.17440225,37.84555748,29.13260032,15.5590499,37.23736218,28.55329949,32.29827743,37.70994832,40.98170873,30.64019172,44.1260745,16.69957223,14.78977393,22.73262662,9.182174339,24.72284901,0,3.222262907,9.695794449,23.42606149,16.85267857,33.76072318,32.83278188,15.95550026,16.78245962,28.73815649,22.45398773,16.60195475,24.468168,30.73190457,49.75938402,28.01812938,50.05250263,18.92614688,35.21594684,23.73260437,20.0856108,8.409536251,12.05821206,16.12253124,12.55578697,12.29183188,30.93182111,12.36063984,5.672052252,10.63002333,13.44989913,16.2693481
OTU_16S_14,19.24619086,28.20571779,34.57106274,18.46873174,19.43793911,23.44116268,21.01397531,30.35429001,26.5662501,20.90701061,15.574527,10.76609248,17.36111111,30.56263024,28.24375214,23.30468004,34.63310299,17.43080499,18.84570082,22.2820764,19.03266948,9.167446211,32.44232882,24.36068355,20.82316577,28.79464286,23.06060327,33.4690761,16.46783283,16.24108996,24.2203677,21.71779141,23.83183826,21.97459674,23.95875455,46.77574591,42.1302019,40.2520126,29.00637729,23.35073564,17.02286282,20.90879157,21.71783148,29.52182952,26.60217654,31.59773877,11.96140629,13.08158268,10.01777347,12.5472671,9.722582318,8.322125084,10.84623206
OTU_16S_15,15.50387597,27.74584196,36.4002195,19.17007598,14.51990632,24.37880919,30.80689585,26.78319707,19.03500786,25.89972956,22.95800646,24.36536718,8.397932817,16.32322297,17.03183841,18.62464183,41.1319513,30.21339531,22.37926973,15.05876592,18.44403022,20.39289055,24.24020505,24.60307841,32.6988775,29.12946429,28.59514805,26.46983965,14.41850253,17.86519895,18.19664931,27.2392638,20.48466997,25.09156082,14.96158512,36.4773821,31.41738772,19.83432505,13.4745937,14.23825344,13.54373757,11.68916694,27.26975833,23.7006237,35.46956872,16.54269563,17.57864129,24.03660265,23.99418323,17.53179787,11.40782992,10.50773369,13.89673483
OTU_16S_16,22.09747839,10.5004982,19.20614597,48.50964348,20.6088993,31.64556962,21.72804244,19.45305892,12.16585285,28.91616393,39.91693586,25.38531278,43.3624031,16.67052558,16.00479288,27.60267431,15.21882198,14.89541517,17.66784452,19.58863859,29.92249583,7.109448082,5.419260344,17.57362744,23.83276395,20.3125,27.67272392,20.74319165,13.02788553,21.20364522,18.63587877,10.67484663,14.86142723,16.90953012,9.502628387,17.42059673,8.961681088,17.96756504,18.41184941,22.30659706,23.35984095,38.36022391,32.08687133,12.39085239,50.7859734,23.62392145,31.65477135,33.89612063,15.91533366,16.1567549,22.68602541,11.51647613,9.60343464
OTU_16S_17,20.58273189,13.02981528,20.66947137,21.157218,14.28571429,10.78293483,16.62756299,23.49403252,8.027807664,12.48179738,47.01199815,25.95194923,15.26162791,34.73026163,30.72577884,23.40019102,16.86410003,16.48003381,15.07656066,35.25954946,27.96036496,24.50888681,3.808128891,16.84644286,28.38783146,15.40178571,36.25126833,21.88852125,12.95469516,23.54958044,25.9145385,18.03680982,21.15410363,19.71479779,6.267691063,28.29643888,11.84590029,26.95134757,24.99485703,19.36402468,20.87475149,70.13500165,21.1463096,15.38461538,25.79604998,17.73281761,20.94898229,18.62353396,17.12716109,6.015812994,8.296603578,13.11365165,14.00971642
OTU_16S_18,19.51349906,12.87652334,16.82824218,24.66393922,11.12412178,17.34646038,38.45761502,11.559064,10.17959116,33.38880799,38.41716659,24.59202176,40.61692506,16.20745543,25.3337898,27.69818529,36.03158934,19.64927108,17.31448763,16.40548482,28.45089767,10.10289991,6.590992311,12.48333535,14.23458598,12.05357143,15.95793746,10.18070756,8.490082705,18.85771001,18.51038464,14.47852761,20.35078324,18.46801216,9.704811969,19.63426372,4.841367944,15.51744254,15.53178358,22.02183199,16.52584493,12.51234771,37.14892227,13.13929314,42.3216445,14.22195775,28.61485593,47.55767496,21.24737437,7.906497078,12.31527094,7.397444519,11.75008474
OTU_16S_19,23.6122249,30.81168085,24.14486922,22.44301578,5.737704918,20.86263479,23.25818627,17.57353632,20.69022594,19.55481589,39.57083526,6.912964642,9.851421189,70.1551285,35.8610065,39.73256925,26.40671273,31.90365519,18.02120141,3.305582762,17.26675169,0,54.63200293,33.69288571,23.99544493,28.79464286,28.2261784,22.39755663,12.58874332,15.78994857,20.76927904,16.93251534,14.19199357,18.93555677,28.0024262,22.61790183,23.69180058,45.26893011,9.874511417,10.15662079,7.703777336,5.432993085,4.980404964,3.742203742,8.867392181,2.975304969,5.617234999,13.27490656,0,0,0,2.269670477,3.38944752
OTU_16S_20,0,6.055031808,5.670385952,0,5.971896956,0,12.64918902,15.22413307,14.23487544,14.14603703,15.574527,3.399818676,12.75839793,50.82194953,27.55905512,53.00859599,35.20895031,19.01542362,21.90812721,3.795298727,0,0,32.51556207,8.847412435,8.459411095,24.21875,6.364726501,15.78009672,17.41930762,11.72967608,7.529647989,35.21472393,25.57236578,10.98729837,78.14395471,8.180943215,7.107540173,15.75078754,12.96029624,27.24252492,10.81013917,8.396443859,5.796864794,17.04781705,16.9286578,20.29157989,12.357917,6.444129398,23.34787526,64.97078034,40.31630801,73.04976463,60.44514744
