OTU,V41,V42,V43,V45,V44,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V93,V94
OTU1323,1.074113856,1.109877913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.769911504,0,0,3.105590062,0,2.232142857,0,0,0,0,5.617977528,0,0,0,0,0,0.989119683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3891,4.296455424,15.53829079,1.499250375,21.93784278,3.537735849,39.83228512,44.75703325,54.54545455,39.90024938,36.68261563,0,1.831501832,1.745200698,0,1.633986928,4.103967168,19.46902655,7.228915663,6.622516556,0,20.13422819,2.232142857,3.521126761,1.618122977,1.200480192,0,1.404494382,0,4.329004329,5.215123859,2.157497303,0,1.978239367,0,4.098360656,0,0,1.438848921,1.123595506,2.2172949,0,2.840909091,1.445086705,0,5.016722408,0,13.02460203,1.394700139,3.649635036,27.48091603,104.368932,41.52249135,55.65529623
OTU1212,3.222341568,18.86792453,4.497751124,5.484460695,0,3.144654088,0,0,0,3.189792663,0,0,0,0,0,0,0,0,0,0,0,2.232142857,0,0,0,0,0,0,4.329004329,0,7.551240561,1629.310345,3.956478734,0,0,0,0,0,1.123595506,0,0,9.943181818,0,0,0,0,0,0,0,0,0,0,0
OTU2625,1.074113856,0,0,0,0,0,0,0,0,7.974481659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.420454545,0,0,0,0,0,0,0,0,0,0,0
OTU4370,2.148227712,2.219755827,0,0,2.358490566,10.48218029,0,4.545454545,4.987531172,0,7.8125,0,5.235602094,0,0,1.367989056,0,2.409638554,9.933774834,0,0,24.55357143,0,16.18122977,6.00240096,2.518891688,43.53932584,4.016064257,0,0,0,6.157635468,0,1.680672269,1.366120219,118.4,360.4826546,8.633093525,0,8.869179601,2.123142251,0,0,0,1.672240803,0,1.447178003,4.184100418,4.866180049,10.6870229,2.427184466,3.460207612,5.385996409
OTU2829,1.074113856,0,10.49475262,0,2.358490566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.526717557,0,0,7.181328546
OTU3605,1.074113856,0,0,0,5.896226415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989119683,0,0,0,0,0,1.123595506,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2860,3.222341568,1.109877913,1.499250375,0,7.075471698,1.048218029,0,0,7.481296758,0,0,73.26007326,1.745200698,4.807692308,9.803921569,5.471956224,5.309734513,12.04819277,16.55629139,15.52795031,2.237136465,0,70.42253521,24.27184466,43.21728691,15.11335013,33.70786517,84.3373494,2.886002886,1.303780965,3.236245955,0,0.989119683,0,61.47540984,24,102.5641026,33.09352518,5.617977528,6.651884701,16.985138,72.44318182,10.11560694,0,5.016722408,0,1.447178003,0,1.216545012,1.526717557,0,0,0
OTU3128,1.074113856,8.879023307,1.499250375,1.828153565,0,0,15.34526854,1.515151515,2.493765586,1.594896332,0,0,0,0,0,0,28.31858407,2.409638554,13.24503311,0,0,11.16071429,0,0,0,0,0,0,0,0,1.078748652,0,1.978239367,3.361344538,1.366120219,0,3.016591252,2.877697842,0,0,0,0,0,0,0,2.369668246,0,0,0,0,0,0,0
OTU2656,2.148227712,0,0,0,2.358490566,12.57861635,2.557544757,0,0,0,0,0,0,0,0,1.367989056,0,0,0,0,4.474272931,49.10714286,0,4.854368932,1.200480192,0,1.404494382,6.024096386,0,0,0,3.694581281,3.956478734,0,0,3.2,0,0,0,2.2172949,0,0,0,0,0,0,15.91895803,0,7.299270073,0,0,0,0
