"phylum_name","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94"
"Dependentiae",0.891027354539784,2.75925500114969,1.28040973111396,1.05201636469901,3.39578454332553,2.10970464135021,0,2.25542712151114,1.0758917487379,1.97628458498024,3.34563913244116,0,2.82622739018088,2.66265339198889,0.770284149263951,3.91595033428844,4.03093122737743,0.84512993872808,4.82921083627797,10.2840352595495,3.23751594231335,0.935453695042096,3.07579641157085,0,0.976085895558809,1.67410714285714,1.01466654367678,0,0.292761472590207,0,1.25494133149275,3.80368098159509,1.47275405007364,0.311696407698901,5.35786494136676,1.05871029836381,3.91429748660898,0.700035001750088,3.49722279366386,3.32225913621262,1.73956262425447,2.14027000329272,0.73481384715872,4.65696465696466,0.806126561870215,3.09431716750967,1.98255352894528,3.99536022683335,0,1.71880371261602,0.77780658542909,1.59717552118359,1.58174217602531
"Desulfobacterota",1.69295197362559,11.5735418103779,12.6211816352661,3.85739333722969,20.4918032786885,8.67323019221754,5.10047944506784,2.63133164176299,7.69676404866341,6.76097358019555,2.94185509921551,0.56663644605621,6.2984496124031,1.15767538782125,1.71174255391989,9.55109837631328,8.71997367555117,0.21128248468202,2.35571260306243,32.56611165524,3.72804866084568,0,7.17685829366532,1.93915888983154,3.57898161704897,8.25892857142857,1.93709067429204,0,12.2959818487887,1.26319588559054,3.26284746188116,8.95705521472393,11.915919132414,2.57149536351594,17.2866963202588,1.53994225216554,0,1.28339750320849,15.7375025714873,8.25818699572852,12.9224652087475,2.30490615739216,11.7570215545395,19.8752598752599,6.85207577589683,27.7298423088367,17.2482157018239,7.15298363191133,5.08967523024721,15.6411137848058,12.5745397977703,9.07868190988568,2.82453960004519
"Elusimicrobiota",4.45513677269892,2.29937916762474,4.38997622096214,0.935125657510228,3.27868852459016,1.64088138771683,0.91808630011221,5.54459167371488,7.94504675991062,1.35219471603911,16.2090447623443,5.21305530371713,2.0187338501292,13.4290344987266,4.45053064019172,15.1862464183381,7.23922342875946,3.90872596661737,4.82921083627797,5.26444662095984,1.66781124300991,0.561272217025258,9.30062248260711,0.969579444915768,5.53115340816658,8.03571428571428,6.27248408818375,11.4532960040723,15.0772158383957,2.52639177118109,2.82361799585869,8.95705521472393,4.81992234569554,7.40278968284891,12.1310149615851,3.84985563041386,8.65265760197775,6.65033251662583,14.8117671261057,2.46796392975795,3.10636182902585,0.823180770497201,4.24559111691705,18.2952182952183,0,12.7343052662898,8.92149088025377,5.3486274004382,0,0,4.27793621985999,8.06993947545393,4.85820811207773
"Entotheonellaeota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353356890459364,0,0,0,0.366166239472721,0,0,0,0,0,0.585522945180414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.665280665280665,0,0.59506099375186,0,0.322206469905916,0,0,0,0.336247478143914,0
"Euryarchaeota",0,0.153291944508316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30963517305893,0,0,0,0,0,0,0,0,0,0,1.20498058642389,0,0,0,0,0,0,0,0,3.95126769838657,0,0,0,0,0,0,1.85813540151882,0,0,0.672494956287828,0.790871088012654
"FCPU426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824499411071849,0.734573947110676,0.19621308741293,0,4.39399487367265,0,0,0.223214285714286,0,0,1.24423625850838,0,0,0.245398773006135,0,0.389620509623627,0,0,0,0,0,0.3796867584243,0.621272365805169,0,0,0,0,0.29753049687593,0.660851176315094,0.837736821755381,0,0,0,1.42905178211163,0
"Fibrobacterota",3.92052035997505,2.91254694565801,4.02414486921529,2.57159555815313,8.19672131147541,4.21940928270042,3.87636437825156,1.59759421107039,3.31043614996276,1.87226960682338,36.1675126903553,1.13327289211242,28.5045219638243,14.4709423477657,1.71174255391989,14.1356255969436,12.8331688055281,4.96513839002747,3.65135453474676,12.7326150832517,9.41822819582066,23.5734331150608,3.73489564262175,3.63592291843413,15.047990889865,2.79017857142857,5.99575684899917,2.54517688979384,7.46541755105028,4.51141387710909,3.95306519420217,2.94478527607362,9.10429776409158,2.33772305774176,3.43712090578245,3.27237728585178,2.06015657189946,2.45012250612531,9.66879242954125,5.60037968675842,13.2952286282306,0.329272308198881,8.32789026779882,6.56964656964657,0,7.02171972627194,4.9563838223632,9.47287021523392,1.45419292292778,0,2.46305418719212,5.71620712844654,2.82453960004519
"Firmicutes",145.415664260893,202.268720778723,203.585147247119,73.6411455289305,129.274004683841,380.215658696672,956.135876772417,1145.56902546753,1101.29934618886,519.970875806116,154.880018458699,102.674524025385,192.587209302326,263.486918268118,231.513180417665,192.168099331423,143.385982230997,282.37904077752,218.610129564193,77.8648383937316,964.681644265673,1202.2450888681,142.731600146466,137.559083747425,97.6085895558809,248.4375,168.619131076469,413.591244591499,323.501427212179,191.825318054678,199.284683441049,467.60736196319,429.776409157852,154.913114626354,444.904973716134,642.444658325313,902.65760197775,146.890677867227,347.459370499897,514.285714285714,283.175944333996,2079.68389858413,56.7439581972567,139.87525987526,43.5308343409916,110.800357036596,64.4329896907217,86.7379816986725,358.862497980288,641.457545548299,516.982110448535,847.091459314055,493.390577335894
"Fusobacteriota",0,0,0,0,0,0,0,0,0,0,0,0,0.565245478036176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAL15",0,0.306583889016632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
